root_id,upstream_set_5_2Ns,set_5_syn_count,const,input_synapses_x,%_set_5_input,input_synapses_y,input_synapses,pct_set_5_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940614660519,2,45,1,45,100.0,45,0,0.0,22.5,local,0
720575940614714514,5,826,1,826,100.0,826,0,0.0,165.2,local,0
720575940614730914,1,15,1,15,100.0,15,0,0.0,15.0,projection,341
720575940614736290,5,587,1,587,100.0,587,0,0.0,117.4,local,0
720575940614740374,1,15,1,15,100.0,15,0,0.0,15.0,projection,50
720575940614753653,1,24,1,24,100.0,24,0,0.0,24.0,projection,14
720575940614763666,2,179,1,179,100.0,179,0,0.0,89.5,local,0
720575940614935859,1,15,1,15,100.0,15,0,0.0,15.0,projection,33
720575940614954536,3,146,1,146,100.0,146,0,0.0,48.666666666666664,local,0
720575940615050346,1,14,1,14,100.0,14,0,0.0,14.0,local,0
720575940615063592,3,178,1,178,100.0,178,0,0.0,59.333333333333336,local,0
720575940615076162,1,40,1,40,100.0,40,0,0.0,40.0,projection,15
720575940615153494,1,45,1,45,100.0,45,0,0.0,45.0,local,0
720575940615228467,1,7,1,7,100.0,7,0,0.0,7.0,projection,8
720575940615292895,2,60,1,60,100.0,60,0,0.0,30.0,local,0
720575940615410911,1,51,1,51,100.0,51,0,0.0,51.0,local,0
720575940615495839,5,289,1,289,100.0,289,0,0.0,57.8,local,0
720575940615583650,1,88,1,88,100.0,88,0,0.0,88.0,local,0
720575940615655611,1,15,1,15,100.0,15,0,0.0,15.0,projection,873
720575940615671106,2,390,1,390,100.0,390,0,0.0,195.0,local,0
720575940615672130,4,105,1,105,100.0,105,0,0.0,26.25,local,0
720575940615811670,1,195,1,195,100.0,195,0,0.0,195.0,local,0
720575940615824011,2,61,1,61,100.0,61,0,0.0,30.5,projection,53
720575940615894614,3,706,1,706,100.0,706,0,0.0,235.33333333333334,local,0
720575940616014092,1,24,1,24,100.0,24,0,0.0,24.0,local,0
720575940616018956,4,67,1,67,100.0,67,0,0.0,16.75,projection,446
720575940616028475,1,7,1,7,100.0,7,0,0.0,7.0,local,0
720575940616038294,1,82,1,82,100.0,82,0,0.0,82.0,local,0
720575940616065254,5,203,1,203,100.0,203,0,0.0,40.6,local,0
720575940616067890,1,18,1,18,100.0,18,0,0.0,18.0,local,0
720575940616071483,4,326,1,326,100.0,326,0,0.0,81.5,local,0
720575940616071563,1,50,1,50,100.0,50,0,0.0,50.0,projection,663
720575940616162866,2,181,1,181,100.0,181,0,0.0,90.5,local,0
720575940616164658,1,27,1,27,100.0,27,0,0.0,27.0,local,0
720575940616167730,6,974,1,974,100.0,974,0,0.0,162.33333333333334,local,0
720575940616169010,1,25,1,25,100.0,25,0,0.0,25.0,local,0
720575940616185531,1,18,1,18,100.0,18,0,0.0,18.0,local,0
720575940616194610,4,108,1,108,100.0,108,0,0.0,27.0,local,0
720575940616200790,2,59,1,59,100.0,59,0,0.0,29.5,projection,760
720575940616203869,3,36,1,36,100.0,36,0,0.0,12.0,local,0
720575940616217403,1,5,1,5,100.0,5,0,0.0,5.0,local,0
720575940616286175,1,15,1,15,100.0,15,0,0.0,15.0,projection,43
720575940616423647,1,34,1,34,100.0,34,0,0.0,34.0,projection,1022
720575940616466260,1,18,1,18,100.0,18,0,0.0,18.0,local,0
720575940616497477,2,162,1,162,100.0,162,0,0.0,81.0,local,0
720575940616597334,1,84,1,84,100.0,84,0,0.0,84.0,local,0
720575940616618053,1,20,1,20,100.0,20,0,0.0,20.0,local,0
720575940616829401,1,25,1,25,100.0,25,0,0.0,25.0,projection,98
720575940616840665,2,29,1,29,100.0,29,0,0.0,14.5,projection,169
720575940616851030,1,11,1,11,100.0,11,0,0.0,11.0,local,0
720575940616864086,1,36,1,36,100.0,36,0,0.0,36.0,local,0
720575940616864217,2,304,1,304,100.0,304,0,0.0,152.0,local,0
720575940617024562,1,15,1,15,100.0,15,0,0.0,15.0,projection,57
720575940617031385,1,84,1,84,100.0,84,0,0.0,84.0,local,0
720575940617089241,1,30,1,30,100.0,30,0,0.0,30.0,projection,308
720575940617151266,1,11,1,11,100.0,11,0,0.0,11.0,local,0
720575940617190361,1,27,1,27,100.0,27,0,0.0,27.0,projection,284
720575940617241629,1,24,1,24,100.0,24,0,0.0,24.0,local,0
720575940617290043,1,27,1,27,100.0,27,0,0.0,27.0,local,0
720575940617296029,1,40,1,40,100.0,40,0,0.0,40.0,local,0
720575940617298747,1,30,1,30,100.0,30,0,0.0,30.0,local,0
720575940617299515,3,133,1,133,100.0,133,0,0.0,44.333333333333336,projection,6
720575940617335382,1,7,1,7,100.0,7,0,0.0,7.0,projection,542
720575940617346718,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940617393625,4,150,1,150,100.0,150,0,0.0,37.5,local,0
720575940617398745,1,14,1,14,100.0,14,0,0.0,14.0,projection,362
720575940617438016,1,20,1,20,100.0,20,0,0.0,20.0,projection,283
720575940617444130,1,24,1,24,100.0,24,0,0.0,24.0,projection,2955
720575940617488477,1,45,1,45,100.0,45,0,0.0,45.0,local,0
720575940617494877,4,133,1,133,100.0,133,0,0.0,33.25,local,0
720575940617552057,1,26,1,26,100.0,26,0,0.0,26.0,local,0
720575940617630182,1,10,1,10,100.0,10,0,0.0,10.0,projection,162
720575940617636213,2,135,1,135,100.0,135,0,0.0,67.5,local,0
720575940617636725,2,180,1,180,100.0,180,0,0.0,90.0,local,0
720575940617663537,3,103,1,103,100.0,103,0,0.0,34.333333333333336,local,0
720575940617678566,9,1154,1,1154,100.0,1154,0,0.0,128.22222222222223,local,0
720575940617690658,1,24,1,24,100.0,24,0,0.0,24.0,projection,306
720575940617691170,2,46,1,46,100.0,46,0,0.0,23.0,projection,765
720575940617787963,8,1264,1,1264,100.0,1264,0,0.0,158.0,local,0
720575940617854676,1,24,1,24,100.0,24,0,0.0,24.0,projection,718
720575940617917579,3,111,1,111,100.0,111,0,0.0,37.0,local,0
720575940617950877,1,78,1,78,100.0,78,0,0.0,78.0,local,0
720575940617999700,1,14,1,14,100.0,14,0,0.0,14.0,local,0
720575940618028125,1,12,1,12,100.0,12,0,0.0,12.0,local,0
720575940618118485,1,10,1,10,100.0,10,0,0.0,10.0,projection,655
720575940618135419,3,139,1,139,100.0,139,0,0.0,46.333333333333336,local,0
720575940618165019,5,1658,1,1658,100.0,1658,0,0.0,331.6,local,0
720575940618165393,1,15,1,15,100.0,15,0,0.0,15.0,projection,5893
720575940618165787,7,884,1,884,100.0,884,0,0.0,126.28571428571429,local,0
720575940618166811,7,294,1,294,100.0,294,0,0.0,42.0,local,0
720575940618216862,1,80,1,80,100.0,80,0,0.0,80.0,projection,1124
720575940618472261,7,322,1,322,100.0,322,0,0.0,46.0,local,0
720575940618514043,3,188,1,188,100.0,188,0,0.0,62.666666666666664,local,0
720575940618539810,4,286,1,286,100.0,286,0,0.0,71.5,local,0
720575940618574749,1,18,1,18,100.0,18,0,0.0,18.0,local,0
720575940618726454,1,11,1,11,100.0,11,0,0.0,11.0,projection,668
720575940618788944,1,30,1,30,100.0,30,0,0.0,30.0,local,0
720575940618859480,2,57,1,57,100.0,57,0,0.0,28.5,local,0
720575940618936710,1,30,1,30,100.0,30,0,0.0,30.0,local,0
720575940618963732,2,36,1,36,100.0,36,0,0.0,18.0,local,0
720575940619016059,2,741,1,741,100.0,741,0,0.0,370.5,local,0
720575940619042427,4,645,1,645,100.0,645,0,0.0,161.25,local,0
720575940619058334,3,55,1,55,100.0,55,0,0.0,18.333333333333332,local,0
720575940619097905,1,15,1,15,100.0,15,0,0.0,15.0,local,0
720575940619111515,2,18,1,18,100.0,18,0,0.0,9.0,local,0
720575940619114048,1,38,1,38,100.0,38,0,0.0,38.0,local,0
720575940619128699,4,327,1,327,100.0,327,0,0.0,81.75,local,0
720575940619176094,1,72,1,72,100.0,72,0,0.0,72.0,projection,37
720575940619191966,1,24,1,24,100.0,24,0,0.0,24.0,projection,166
720575940619310757,4,150,1,150,100.0,150,0,0.0,37.5,local,0
720575940619436225,1,20,1,20,100.0,20,0,0.0,20.0,projection,978
720575940619451989,1,7,1,7,100.0,7,0,0.0,7.0,projection,57
720575940619473624,3,268,1,268,100.0,268,0,0.0,89.33333333333333,local,0
720575940619549867,4,202,1,202,100.0,202,0,0.0,50.5,local,0
720575940619652033,1,28,1,28,100.0,28,0,0.0,28.0,local,0
720575940619728037,1,18,1,18,100.0,18,0,0.0,18.0,projection,538
720575940619757366,1,30,1,30,100.0,30,0,0.0,30.0,projection,138
720575940619766869,1,5,1,5,100.0,5,0,0.0,5.0,projection,107
720575940619771375,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940619781814,3,164,1,164,100.0,164,0,0.0,54.666666666666664,local,0
720575940619847371,1,12,1,12,100.0,12,0,0.0,12.0,local,0
720575940619866059,2,55,1,55,100.0,55,0,0.0,27.5,local,0
720575940619877396,2,384,1,384,100.0,384,0,0.0,192.0,local,0
720575940619888622,1,9,1,9,100.0,9,0,0.0,9.0,local,0
720575940619898526,1,39,1,39,100.0,39,0,0.0,39.0,local,0
720575940619900507,2,218,1,218,100.0,218,0,0.0,109.0,local,0
720575940619945931,1,27,1,27,100.0,27,0,0.0,27.0,local,0
720575940619973712,3,457,1,457,100.0,457,0,0.0,152.33333333333334,local,0
720575940620025620,8,854,1,854,100.0,854,0,0.0,106.75,local,0
720575940620031366,2,80,1,80,100.0,80,0,0.0,40.0,local,0
720575940620096171,2,83,1,83,100.0,83,0,0.0,41.5,local,0
720575940620129182,2,81,1,81,100.0,81,0,0.0,40.5,local,0
720575940620156209,2,401,1,401,100.0,401,0,0.0,200.5,local,0
720575940620170887,1,40,1,40,100.0,40,0,0.0,40.0,local,0
720575940620177543,2,30,1,30,100.0,30,0,0.0,15.0,local,0
720575940620182151,2,50,1,50,100.0,50,0,0.0,25.0,local,0
720575940620217582,3,217,1,217,100.0,217,0,0.0,72.33333333333333,local,0
720575940620262465,7,587,1,587,100.0,587,0,0.0,83.85714285714286,local,0
720575940620274085,1,54,1,54,100.0,54,0,0.0,54.0,local,0
720575940620298772,1,120,1,120,100.0,120,0,0.0,120.0,local,0
720575940620335269,2,49,1,49,100.0,49,0,0.0,24.5,local,0
720575940620353300,7,1349,1,1349,100.0,1349,0,0.0,192.71428571428572,local,0
720575940620359956,10,700,1,700,100.0,700,0,0.0,70.0,local,0
720575940620411169,1,36,1,36,100.0,36,0,0.0,36.0,local,0
720575940620445062,2,193,1,193,100.0,193,0,0.0,96.5,projection,2380
720575940620451866,1,66,1,66,100.0,66,0,0.0,66.0,local,0
720575940620497062,1,24,1,24,100.0,24,0,0.0,24.0,local,0
720575940620506996,5,516,1,516,100.0,516,0,0.0,103.2,local,0
720575940620550534,3,56,1,56,100.0,56,0,0.0,18.666666666666668,local,0
720575940620553094,3,85,1,85,100.0,85,0,0.0,28.333333333333332,local,0
720575940620626011,1,5,1,5,100.0,5,0,0.0,5.0,local,0
720575940620627035,4,393,1,393,100.0,393,0,0.0,98.25,local,0
720575940620633070,1,25,1,25,100.0,25,0,0.0,25.0,projection,146
720575940620633947,1,17,1,17,100.0,17,0,0.0,17.0,local,0
720575940620672432,2,61,1,61,100.0,61,0,0.0,30.5,local,0
720575940620692974,2,85,1,85,100.0,85,0,0.0,42.5,local,0
720575940620714150,1,27,1,27,100.0,27,0,0.0,27.0,local,0
720575940620735258,3,105,1,105,100.0,105,0,0.0,35.0,local,0
720575940620741102,4,630,1,630,100.0,630,0,0.0,157.5,local,0
720575940620748457,2,95,1,95,100.0,95,0,0.0,47.5,local,0
720575940620763584,1,99,1,99,100.0,99,0,0.0,99.0,projection,6
720575940620778223,2,77,1,77,100.0,77,0,0.0,38.5,local,0
720575940620780272,3,220,1,220,100.0,220,0,0.0,73.33333333333333,local,0
720575940620819659,2,45,1,45,100.0,45,0,0.0,22.5,local,0
720575940620833901,5,182,1,182,100.0,182,0,0.0,36.4,projection,468
720575940620866544,1,32,1,32,100.0,32,0,0.0,32.0,local,0
720575940620874757,1,14,1,14,100.0,14,0,0.0,14.0,local,0
720575940620979638,1,24,1,24,100.0,24,0,0.0,24.0,local,0
720575940620982437,1,87,1,87,100.0,87,0,0.0,87.0,local,0
720575940621040737,1,50,1,50,100.0,50,0,0.0,50.0,projection,770
720575940621047632,3,157,1,157,100.0,157,0,0.0,52.333333333333336,local,0
720575940621116073,2,175,1,175,100.0,175,0,0.0,87.5,local,0
720575940621149709,2,89,1,89,100.0,89,0,0.0,44.5,local,0
720575940621218694,5,130,1,130,100.0,130,0,0.0,26.0,local,0
720575940621256384,2,239,1,239,100.0,239,0,0.0,119.5,local,0
720575940621261296,2,369,1,369,100.0,369,0,0.0,184.5,local,0
720575940621325150,1,30,1,30,100.0,30,0,0.0,30.0,projection,77
720575940621329328,4,101,1,101,100.0,101,0,0.0,25.25,local,0
720575940621332092,2,25,1,25,100.0,25,0,0.0,12.5,local,0
720575940621345012,1,60,1,60,100.0,60,0,0.0,60.0,local,0
720575940621354736,1,27,1,27,100.0,27,0,0.0,27.0,local,0
720575940621373052,1,10,1,10,100.0,10,0,0.0,10.0,projection,618
720575940621490721,2,499,1,499,100.0,499,0,0.0,249.5,projection,5
720575940621569728,2,42,1,42,100.0,42,0,0.0,21.0,local,0
720575940621573542,1,16,1,16,100.0,16,0,0.0,16.0,local,0
720575940621586854,1,102,1,102,100.0,102,0,0.0,102.0,local,0
720575940621616381,1,10,1,10,100.0,10,0,0.0,10.0,projection,319
720575940621633683,2,153,1,153,100.0,153,0,0.0,76.5,projection,60
720575940621651327,1,24,1,24,100.0,24,0,0.0,24.0,projection,265
720575940621662332,3,110,1,110,100.0,110,0,0.0,36.666666666666664,projection,3158
720575940621667693,3,224,1,224,100.0,224,0,0.0,74.66666666666667,local,0
720575940621755888,2,210,1,210,100.0,210,0,0.0,105.0,local,0
720575940621761729,1,40,1,40,100.0,40,0,0.0,40.0,local,0
720575940621763312,1,25,1,25,100.0,25,0,0.0,25.0,local,0
720575940621771041,1,25,1,25,100.0,25,0,0.0,25.0,local,0
720575940621827419,4,274,1,274,100.0,274,0,0.0,68.5,local,0
720575940621833281,6,286,1,286,100.0,286,0,0.0,47.666666666666664,local,0
720575940621894750,2,305,1,305,100.0,305,0,0.0,152.5,local,0
720575940621928453,1,60,1,60,100.0,60,0,0.0,60.0,local,0
720575940621930710,1,195,1,195,100.0,195,0,0.0,195.0,local,0
720575940622026245,2,41,1,41,100.0,41,0,0.0,20.5,local,0
720575940622027222,1,15,1,15,100.0,15,0,0.0,15.0,projection,24
720575940622054753,7,204,1,204,100.0,204,0,0.0,29.142857142857142,local,0
720575940622074206,1,75,1,75,100.0,75,0,0.0,75.0,local,0
720575940622116705,1,50,1,50,100.0,50,0,0.0,50.0,local,0
720575940622123144,4,283,1,283,100.0,283,0,0.0,70.75,local,0
720575940622124833,2,245,1,245,100.0,245,0,0.0,122.5,local,0
720575940622154266,2,22,1,22,100.0,22,0,0.0,11.0,local,0
720575940622195625,4,126,1,126,100.0,126,0,0.0,31.5,local,0
720575940622235425,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940622236671,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940622266236,1,39,1,39,100.0,39,0,0.0,39.0,local,0
720575940622284947,2,95,1,95,100.0,95,0,0.0,47.5,projection,823
720575940622309726,1,48,1,48,100.0,48,0,0.0,48.0,projection,769
720575940622319715,1,35,1,35,100.0,35,0,0.0,35.0,projection,289
720575940622391337,2,75,1,75,100.0,75,0,0.0,37.5,local,0
720575940622415948,2,267,1,267,100.0,267,0,0.0,133.5,local,0
720575940622433799,3,93,1,93,100.0,93,0,0.0,31.0,local,0
720575940622452715,1,30,1,30,100.0,30,0,0.0,30.0,local,0
720575940622457579,1,10,1,10,100.0,10,0,0.0,10.0,local,0
720575940622466027,1,5,1,5,100.0,5,0,0.0,5.0,projection,82
720575940622486644,1,39,1,39,100.0,39,0,0.0,39.0,local,0
720575940622493260,8,474,1,474,100.0,474,0,0.0,59.25,local,0
720575940622500172,1,93,1,93,100.0,93,0,0.0,93.0,local,0
720575940622515895,3,87,1,87,100.0,87,0,0.0,29.0,projection,150
720575940622537477,1,96,1,96,100.0,96,0,0.0,96.0,local,0
720575940622547299,1,30,1,30,100.0,30,0,0.0,30.0,projection,530
720575940622629011,1,7,1,7,100.0,7,0,0.0,7.0,projection,59
720575940622657268,4,240,1,240,100.0,240,0,0.0,60.0,local,0
720575940622695448,2,181,1,181,100.0,181,0,0.0,90.5,local,0
720575940622734106,1,12,1,12,100.0,12,0,0.0,12.0,local,0
720575940622828056,2,43,1,43,100.0,43,0,0.0,21.5,projection,26
720575940622835947,1,25,1,25,100.0,25,0,0.0,25.0,local,0
720575940622853258,2,75,1,75,100.0,75,0,0.0,37.5,local,0
720575940622931976,3,70,1,70,100.0,70,0,0.0,23.333333333333332,local,0
720575940622994323,1,10,1,10,100.0,10,0,0.0,10.0,projection,670
720575940623004552,3,157,1,157,100.0,157,0,0.0,52.333333333333336,local,0
720575940623017989,4,240,1,240,100.0,240,0,0.0,60.0,local,0
720575940623019544,1,42,1,42,100.0,42,0,0.0,42.0,projection,662
720575940623029395,2,73,1,73,100.0,73,0,0.0,36.5,local,0
720575940623044103,2,53,1,53,100.0,53,0,0.0,26.5,local,0
720575940623066893,2,30,1,30,100.0,30,0,0.0,15.0,local,0
720575940623078071,2,86,1,86,100.0,86,0,0.0,43.0,local,0
720575940623097853,1,24,1,24,100.0,24,0,0.0,24.0,local,0
720575940623128269,1,20,1,20,100.0,20,0,0.0,20.0,local,0
720575940623132621,4,190,1,190,100.0,190,0,0.0,47.5,local,0
720575940623148285,2,210,1,210,100.0,210,0,0.0,105.0,local,0
