root_id,upstream_set_3_PSO_SAs,set_3_syn_count,const,nt_type,side,input_synapses,output_synapses,neuron_type,#_projection_synapses
720575940624352970,1,5,1,ACH,right,407.0,296.0,local,0
720575940624466440,2,20,1,,right,178.0,301.0,local,0
720575940624882407,13,188,1,GABA,right,1438.0,1633.0,local,0
720575940624987175,1,15,1,ACH,right,580.0,1210.0,local,0
720575940625002936,4,61,1,GABA,right,1599.0,1198.0,local,0
720575940625004034,1,12,1,,left,194.0,365.0,local,0
720575940625081290,5,67,1,ACH,right,665.0,299.0,local,0
720575940625167886,1,5,1,GABA,right,496.0,1443.0,local,0
720575940625175054,4,62,1,ACH,left,1289.0,832.0,local,0
720575940625304094,2,51,1,ACH,left,323.0,361.0,local,0
720575940625339981,5,151,1,GABA,right,566.0,507.0,local,0
720575940625408796,2,27,1,ACH,left,340.0,344.0,local,0
720575940625807152,5,95,1,GABA,right,875.0,1105.0,local,0
720575940625813140,19,303,1,GABA,right,1022.0,1897.0,local,0
720575940625873560,3,59,1,ACH,left,440.0,393.0,local,0
720575940625875504,4,104,1,GLUT,right,1596.0,2191.0,local,0
720575940626163658,3,48,1,GABA,left,1228.0,556.0,local,0
720575940626185353,8,85,1,ACH,right,299.0,637.0,local,0
720575940626243428,2,13,1,ACH,left,1086.0,1162.0,local,0
720575940626456081,1,5,1,ACH,left,418.0,1341.0,local,0
720575940626468178,2,56,1,GLUT,right,389.0,706.0,local,0
720575940626507346,2,75,1,GABA,left,844.0,632.0,local,0
720575940626557186,11,159,1,GLUT,left,1473.0,2383.0,local,0
720575940626705497,18,385,1,ACH,right,1357.0,1543.0,local,0
720575940626847765,1,10,1,ACH,left,227.0,348.0,local,0
720575940626953561,1,22,1,ACH,left,381.0,403.0,local,0
720575940627040549,3,141,1,ACH,left,471.0,369.0,local,0
720575940627047400,1,17,1,ACH,left,238.0,249.0,local,0
720575940627117193,4,91,1,ACH,right,414.0,564.0,local,0
720575940627177115,2,10,1,ACH,right,138.0,242.0,local,0
720575940627206074,6,81,1,ACH,right,1244.0,1820.0,local,0
720575940627210502,10,154,1,ACH,left,523.0,508.0,local,0
720575940627356459,2,117,1,GABA,left,657.0,1063.0,local,0
720575940627359109,3,60,1,GABA,left,1103.0,1017.0,local,0
720575940627419962,5,114,1,GABA,left,478.0,539.0,local,0
720575940627828040,2,74,1,ACH,right,1057.0,1182.0,local,0
720575940627828296,8,83,1,ACH,left,2033.0,1331.0,local,0
720575940627916331,2,17,1,ACH,right,1320.0,1002.0,local,0
720575940628070419,2,28,1,ACH,right,1485.0,674.0,local,0
720575940628095593,8,221,1,ACH,left,1119.0,844.0,local,0
720575940628119127,1,7,1,ACH,right,217.0,361.0,local,0
720575940628211499,4,78,1,GABA,right,382.0,549.0,local,0
720575940628319899,2,19,1,ACH,right,431.0,394.0,local,0
720575940628463042,1,5,1,GABA,left,440.0,652.0,local,0
720575940628598121,2,20,1,ACH,left,1345.0,1949.0,local,0
720575940628644218,1,5,1,GABA,right,143.0,221.0,local,0
720575940628668009,22,302,1,ACH,left,1487.0,1966.0,local,0
720575940628676457,3,30,1,,left,1603.0,264.0,local,0
720575940628680553,1,7,1,ACH,right,376.0,330.0,local,0
720575940628684023,9,481,1,ACH,left,871.0,619.0,local,0
720575940628973827,25,530,1,GABA,right,1530.0,1381.0,local,0
720575940629024591,9,65,1,ACH,right,1348.0,3254.0,local,0
720575940629098028,2,18,1,ACH,right,196.0,363.0,local,0
720575940629111490,13,861,1,GABA,right,1953.0,3910.0,local,0
720575940629112258,1,58,1,ACH,left,289.0,413.0,local,0
720575940629207963,1,6,1,ACH,right,1142.0,991.0,local,0
720575940629470838,4,33,1,GLUT,left,1117.0,798.0,local,0
720575940629576451,1,6,1,ACH,left,869.0,1171.0,local,0
720575940629677417,4,101,1,GABA,left,259.0,494.0,local,0
720575940629717370,6,43,1,ACH,right,483.0,256.0,local,0
720575940629778554,3,16,1,GLUT,right,2881.0,3432.0,local,0
720575940629804158,5,214,1,GLUT,left,1252.0,1329.0,local,0
720575940629865319,2,38,1,,left,441.0,769.0,local,0
720575940630054735,1,7,1,GABA,left,426.0,76.0,local,0
720575940630059052,3,34,1,GABA,right,377.0,557.0,local,0
720575940630182972,1,6,1,GLUT,right,1114.0,601.0,local,0
720575940630232380,3,92,1,GLUT,right,2369.0,2706.0,local,0
720575940630488540,6,118,1,GABA,right,934.0,1277.0,local,0
720575940630506344,3,19,1,GABA,left,121.0,571.0,local,0
720575940630670454,1,7,1,GABA,left,254.0,671.0,local,0
720575940630679801,1,9,1,GABA,right,246.0,627.0,local,0
720575940630683385,8,404,1,GABA,right,2141.0,2244.0,local,0
720575940630771449,1,5,1,ACH,right,3057.0,1777.0,local,0
720575940630773495,1,5,1,GABA,left,310.0,736.0,local,0
720575940630806267,2,117,1,,right,587.0,715.0,local,0
720575940631108303,2,22,1,GABA,left,1552.0,1653.0,local,0
