root_id,upstream_set_2_2Ns,set_2_syn_count,const,input_synapses,pct_set_2_input,avg_upstream_synapses,neuron_type,#_projection_synapses
720575940608822226,1,24,1,24,100.0,24.0,projection,278
720575940608836291,2,17,1,17,100.0,8.5,projection,204
720575940608868654,1,25,1,25,100.0,25.0,local,0
720575940608884693,3,96,1,96,100.0,32.0,projection,161
720575940608900050,2,233,1,233,100.0,116.5,local,0
720575940608956373,1,21,1,21,100.0,21.0,projection,38
720575940608971221,2,145,1,145,100.0,72.5,projection,175
720575940608976085,1,28,1,28,100.0,28.0,projection,252
720575940608977621,2,17,1,17,100.0,8.5,projection,817
720575940609030776,1,10,1,10,100.0,10.0,projection,60
720575940609088978,1,7,1,7,100.0,7.0,projection,383
720575940609133269,19,1100,1,1100,100.0,57.89473684210526,projection,316
720575940609221700,1,5,1,5,100.0,5.0,local,0
720575940609269001,1,18,1,18,100.0,18.0,projection,1156
720575940609282825,2,210,1,210,100.0,105.0,projection,17350
720575940609306563,3,237,1,237,100.0,79.0,local,0
720575940609405635,3,24,1,24,100.0,8.0,projection,64
720575940609407939,8,344,1,344,100.0,43.0,local,0
720575940609417995,5,83,1,83,100.0,16.6,local,0
720575940609423299,5,522,1,522,100.0,104.4,local,0
720575940609482190,2,150,1,150,100.0,75.0,projection,78
720575940609521250,9,273,1,273,100.0,30.333333333333332,local,0
720575940609533230,2,324,1,324,100.0,162.0,local,0
720575940609586500,1,30,1,30,100.0,30.0,projection,266
720575940609625442,2,21,1,21,100.0,10.5,projection,78
720575940609646126,4,151,1,151,100.0,37.75,projection,86
720575940609677636,1,12,1,12,100.0,12.0,projection,92
720575940609682756,1,18,1,18,100.0,18.0,projection,84
720575940609819512,1,8,1,8,100.0,8.0,projection,1744
720575940609892164,1,10,1,10,100.0,10.0,projection,748
720575940609894212,1,48,1,48,100.0,48.0,projection,366
720575940609895748,1,5,1,5,100.0,5.0,projection,198
720575940609906244,3,244,1,244,100.0,81.33333333333333,projection,486
720575940609913042,28,5439,1,5439,100.0,194.25,local,0
720575940609919897,3,97,1,97,100.0,32.333333333333336,local,0
720575940609922372,18,741,1,741,100.0,41.166666666666664,local,0
720575940609937476,5,252,1,252,100.0,50.4,local,0
