root_id,upstream_set_1_2Ns,set_1_syn_count,const,input_synapses,pct_set_1_input,avg_upstream_synapses
720575940612920386,3,331,1,331,100.0,110.33333333333333
720575940612921571,1,56,1,56,100.0,56.0
720575940612921581,1,6,1,6,100.0,6.0
720575940612950642,1,20,1,20,100.0,20.0
720575940612952557,4,63,1,63,100.0,15.75
720575940612984981,4,105,1,105,100.0,26.25
720575940613004402,2,72,1,72,100.0,36.0
720575940613061118,2,102,1,102,100.0,51.0
720575940613071313,1,60,1,60,100.0,60.0
720575940613080751,1,10,1,10,100.0,10.0
720575940613106582,1,9,1,9,100.0,9.0
720575940613133718,4,251,1,251,100.0,62.75
720575940613170385,7,225,1,225,100.0,32.142857142857146
720575940613222195,2,42,1,42,100.0,21.0
720575940613253091,1,14,1,14,100.0,14.0
720575940613356851,2,14,1,14,100.0,7.0
720575940613419506,2,35,1,35,100.0,17.5
720575940613433519,1,15,1,15,100.0,15.0
720575940613524647,2,124,1,124,100.0,62.0
720575940613527789,4,132,1,132,100.0,33.0
720575940613563117,9,477,1,477,100.0,53.0
720575940613589167,1,18,1,18,100.0,18.0
720575940613640685,17,489,1,489,100.0,28.764705882352942
720575940613670893,6,306,1,306,100.0,51.0
720575940613687789,8,820,1,820,100.0,102.5
720575940613743569,1,21,1,21,100.0,21.0
720575940613746087,1,28,1,28,100.0,28.0
720575940613747734,1,5,1,5,100.0,5.0
720575940613809071,1,7,1,7,100.0,7.0
720575940613825814,5,166,1,166,100.0,33.2
720575940613845516,1,44,1,44,100.0,44.0
720575940613929391,1,36,1,36,100.0,36.0
720575940613943215,6,311,1,311,100.0,51.833333333333336
720575940614062503,1,27,1,27,100.0,27.0
720575940614067507,1,38,1,38,100.0,38.0
720575940614128691,3,100,1,100,100.0,33.333333333333336
720575940614150567,1,21,1,21,100.0,21.0
720575940614211295,3,296,1,296,100.0,98.66666666666667
720575940614273292,1,34,1,34,100.0,34.0
720575940614281266,2,91,1,91,100.0,45.5
720575940614483879,1,7,1,7,100.0,7.0
720575940614572542,10,352,1,352,100.0,35.2
720575940614587615,1,9,1,9,100.0,9.0
720575940614642838,3,36,1,36,100.0,12.0
720575940614660519,8,246,1,246,100.0,30.75
720575940614714262,1,16,1,16,100.0,16.0
720575940614734186,2,49,1,49,100.0,24.5
720575940614736290,6,239,1,239,100.0,39.833333333333336
720575940614763666,1,60,1,60,100.0,60.0
720575940614775592,1,18,1,18,100.0,18.0
720575940614799007,2,92,1,92,100.0,46.0
720575940614830239,3,190,1,190,100.0,63.333333333333336
720575940614916725,5,226,1,226,100.0,45.2
720575940614936543,1,24,1,24,100.0,24.0
720575940614938636,1,6,1,6,100.0,6.0
720575940614942610,1,6,1,6,100.0,6.0
720575940614950194,2,60,1,60,100.0,30.0
720575940614954536,1,5,1,5,100.0,5.0
720575940614965691,1,64,1,64,100.0,64.0
720575940615023535,1,15,1,15,100.0,15.0
720575940615052812,3,92,1,92,100.0,30.666666666666668
720575940615063592,6,99,1,99,100.0,16.5
720575940615071391,1,36,1,36,100.0,36.0
720575940615076162,2,82,1,82,100.0,41.0
720575940615089369,1,46,1,46,100.0,46.0
720575940615134557,1,24,1,24,100.0,24.0
720575940615197747,3,120,1,120,100.0,40.0
720575940615215922,2,46,1,46,100.0,23.0
720575940615228467,1,5,1,5,100.0,5.0
720575940615251339,1,21,1,21,100.0,21.0
720575940615274425,4,140,1,140,100.0,35.0
720575940615296818,9,691,1,691,100.0,76.77777777777777
720575940615330265,2,70,1,70,100.0,35.0
720575940615379686,1,6,1,6,100.0,6.0
720575940615406590,4,215,1,215,100.0,53.75
720575940615480370,2,100,1,100,100.0,50.0
720575940615495839,7,589,1,589,100.0,84.14285714285714
720575940615582111,2,48,1,48,100.0,24.0
720575940615583650,5,190,1,190,100.0,38.0
720575940615598849,1,24,1,24,100.0,24.0
720575940615641798,2,107,1,107,100.0,53.5
720575940615668370,1,15,1,15,100.0,15.0
720575940615671106,2,80,1,80,100.0,40.0
720575940615672130,8,348,1,348,100.0,43.5
720575940615677090,1,24,1,24,100.0,24.0
720575940615742353,3,74,1,74,100.0,24.666666666666668
720575940615749051,1,12,1,12,100.0,12.0
720575940615749819,1,15,1,15,100.0,15.0
720575940615750562,1,5,1,5,100.0,5.0
720575940615763174,1,48,1,48,100.0,48.0
720575940615763573,1,9,1,9,100.0,9.0
720575940615770229,1,6,1,6,100.0,6.0
720575940615770811,1,7,1,7,100.0,7.0
720575940615799308,1,11,1,11,100.0,11.0
720575940615811670,5,658,1,658,100.0,131.6
720575940615868054,1,12,1,12,100.0,12.0
720575940615886534,1,9,1,9,100.0,9.0
720575940615903259,1,28,1,28,100.0,28.0
720575940615929373,1,36,1,36,100.0,36.0
720575940615970015,1,15,1,15,100.0,15.0
720575940616014092,5,109,1,109,100.0,21.8
720575940616018956,11,636,1,636,100.0,57.81818181818182
