root_id,upstream_set_6_2Ns,set_6_syn_count,const,input_synapses_x,%_set_6_input,input_synapses_y,input_synapses,pct_set_6_input,avg_upstream_synapses
720575940626229849,1,20,1,20,100.0,20,0,0.0,20.0
720575940626243428,4,739,1,739,100.0,739,0,0.0,184.75
720575940626308697,6,259,1,259,100.0,259,0,0.0,43.166666666666664
720575940626337479,1,7,1,7,100.0,7,0,0.0,7.0
720575940626348106,1,35,1,35,100.0,35,0,0.0,35.0
720575940626376600,1,9,1,9,100.0,9,0,0.0,9.0
720575940626434822,2,17,1,17,100.0,17,0,0.0,8.5
720575940626456081,2,34,1,34,100.0,34,0,0.0,17.0
720575940626456582,2,98,1,98,100.0,98,0,0.0,49.0
720575940626468178,2,35,1,35,100.0,35,0,0.0,17.5
720575940626507346,3,84,1,84,100.0,84,0,0.0,28.0
720575940626555153,1,48,1,48,100.0,48,0,0.0,48.0
720575940626557186,5,792,1,792,100.0,792,0,0.0,158.4
720575940626567701,2,230,1,230,100.0,230,0,0.0,115.0
720575940626583836,4,107,1,107,100.0,107,0,0.0,26.75
720575940626705497,5,485,1,485,100.0,485,0,0.0,97.0
720575940626826288,3,44,1,44,100.0,44,0,0.0,14.666666666666666
720575940626835146,1,5,1,5,100.0,5,0,0.0,5.0
720575940626919144,4,595,1,595,100.0,595,0,0.0,148.75
720575940626953561,1,20,1,20,100.0,20,0,0.0,20.0
720575940626960536,1,18,1,18,100.0,18,0,0.0,18.0
720575940626968216,1,14,1,14,100.0,14,0,0.0,14.0
720575940626972056,1,40,1,40,100.0,40,0,0.0,40.0
720575940626974737,4,339,1,339,100.0,339,0,0.0,84.75
720575940627040549,1,9,1,9,100.0,9,0,0.0,9.0
720575940627047400,3,68,1,68,100.0,68,0,0.0,22.666666666666668
720575940627062088,2,33,1,33,100.0,33,0,0.0,16.5
720575940627083294,1,5,1,5,100.0,5,0,0.0,5.0
720575940627086594,1,18,1,18,100.0,18,0,0.0,18.0
720575940627107271,1,615,1,615,100.0,615,0,0.0,615.0
720575940627107721,2,90,1,90,100.0,90,0,0.0,45.0
720575940627113544,1,13,1,13,100.0,13,0,0.0,13.0
720575940627177115,1,18,1,18,100.0,18,0,0.0,18.0
720575940627206074,3,595,1,595,100.0,595,0,0.0,198.33333333333334
720575940627210502,1,7,1,7,100.0,7,0,0.0,7.0
720575940627219272,1,23,1,23,100.0,23,0,0.0,23.0
720575940627244200,1,30,1,30,100.0,30,0,0.0,30.0
720575940627254856,2,245,1,245,100.0,245,0,0.0,122.5
720575940627274578,1,64,1,64,100.0,64,0,0.0,64.0
720575940627276474,2,145,1,145,100.0,145,0,0.0,72.5
720575940627284935,3,145,1,145,100.0,145,0,0.0,48.333333333333336
720575940627285267,1,18,1,18,100.0,18,0,0.0,18.0
720575940627304424,1,32,1,32,100.0,32,0,0.0,32.0
720575940627312668,9,2114,1,2114,100.0,2114,0,0.0,234.88888888888889
720575940627356459,3,468,1,468,100.0,468,0,0.0,156.0
720575940627359109,9,506,1,506,100.0,506,0,0.0,56.22222222222222
720575940627359228,2,252,1,252,100.0,252,0,0.0,126.0
