pre_root_id,post_root_id,syn_count,origin_set
720575940619549867,720575940609937476,32,set_6
720575940619549867,720575940610103906,6,set_6
720575940619549867,720575940610606126,192,set_6
720575940619549867,720575940611549902,40,set_6
720575940619549867,720575940612772915,7,set_6
720575940619549867,720575940612819763,18,set_6
720575940619549867,720575940612984981,13,set_6
720575940619549867,720575940613563117,112,set_6
720575940619549867,720575940614714514,8,set_6
720575940619549867,720575940614954536,6,set_6
720575940619549867,720575940615063592,32,set_6
720575940619549867,720575940615071391,9,set_6
720575940619549867,720575940615197747,13,set_6
720575940619549867,720575940615330265,6,set_6
720575940619549867,720575940615879995,43,set_6
720575940619549867,720575940616100582,17,set_6
720575940619549867,720575940616162866,5,set_6
720575940619549867,720575940616791067,41,set_6
720575940619549867,720575940616921152,8,set_6
720575940619549867,720575940617151266,8,set_6
720575940619549867,720575940617244027,5,set_6
720575940619549867,720575940617678566,17,set_6
720575940619549867,720575940617787963,11,set_6
720575940619549867,720575940617986683,9,set_6
720575940619549867,720575940618156315,6,set_6
720575940619549867,720575940618165019,8,set_6
720575940619549867,720575940619601428,29,set_6
720575940619549867,720575940619741104,6,set_6
720575940619549867,720575940620217582,6,set_6
720575940619549867,720575940620292116,7,set_6
720575940619549867,720575940620528990,7,set_6
720575940619549867,720575940620575579,57,set_6
720575940619549867,720575940620699162,61,set_6
720575940619549867,720575940620885342,6,set_6
720575940619549867,720575940621013640,16,set_6
720575940619549867,720575940621128583,18,set_6
720575940619549867,720575940621894750,59,set_6
720575940619549867,720575940621930710,25,set_6
720575940619549867,720575940622124833,16,set_6
720575940619549867,720575940622406694,6,set_6
720575940619549867,720575940622415948,23,set_6
720575940619549867,720575940622810153,11,set_6
720575940619549867,720575940623148285,13,set_6
720575940619549867,720575940623261675,6,set_6
720575940619549867,720575940623458633,5,set_6
720575940619549867,720575940623525258,5,set_6
720575940619549867,720575940623609895,5,set_6
720575940619549867,720575940623654804,11,set_6
720575940619549867,720575940625173006,15,set_6
720575940619549867,720575940625507870,7,set_6
720575940619549867,720575940626557186,104,set_6
720575940619549867,720575940626705497,8,set_6
720575940619549867,720575940627040549,9,set_6
720575940619549867,720575940627047400,7,set_6
720575940619549867,720575940627210502,7,set_6
720575940619549867,720575940627219272,23,set_6
720575940619549867,720575940627419962,12,set_6
720575940619549867,720575940627828296,18,set_6
720575940619549867,720575940628095593,42,set_6
720575940619549867,720575940628668009,25,set_6
720575940619549867,720575940628973827,111,set_6
720575940619549867,720575940629111490,25,set_6
720575940619549867,720575940629112258,6,set_6
720575940619549867,720575940629207963,6,set_6
720575940619549867,720575940629677417,33,set_6
720575940619549867,720575940629972215,59,set_6
720575940619549867,720575940630506344,15,set_6
720575940619549867,720575940630597177,41,set_6
720575940619549867,720575940630734393,6,set_6
720575940619549867,720575940631205580,36,set_6
720575940619549867,720575940631639500,5,set_6
720575940619549867,720575940633639063,15,set_6
720575940619549867,720575940633660314,10,set_6
720575940619549867,720575940634105439,7,set_6
720575940619549867,720575940634667234,7,set_6
720575940619549867,720575940635005303,13,set_6
720575940619549867,720575940635202155,23,set_6
720575940619549867,720575940635212143,5,set_6
720575940619549867,720575940635297911,18,set_6
720575940619549867,720575940635739504,34,set_6
720575940619549867,720575940635751269,9,set_6
720575940619549867,720575940636165624,9,set_6
720575940619549867,720575940637936710,7,set_6
720575940619549867,720575940638054197,5,set_6
720575940619549867,720575940639756093,21,set_6
720575940619549867,720575940639769715,5,set_6
720575940619549867,720575940639786915,27,set_6
720575940619549867,720575940644672548,13,set_6
720575940619549867,720575940645039383,12,set_6
720575940619549867,720575940645527918,22,set_6
720575940620506996,720575940609993284,70,set_6
720575940620506996,720575940611388595,840,set_6
720575940620506996,720575940612270307,42,set_6
720575940620506996,720575940612478383,154,set_6
720575940620506996,720575940614950194,49,set_6
720575940620506996,720575940616028475,112,set_6
720575940620506996,720575940618472261,105,set_6
720575940620506996,720575940620983637,168,set_6
720575940620506996,720575940621490721,343,set_6
720575940620506996,720575940622144648,798,set_6
720575940620506996,720575940622515895,112,set_6
720575940620506996,720575940623040094,35,set_6
720575940620506996,720575940623056422,77,set_6
720575940620506996,720575940623158709,406,set_6
720575940620506996,720575940624608442,35,set_6
720575940620506996,720575940625941022,35,set_6
720575940620506996,720575940626308697,49,set_6
720575940620506996,720575940628070419,42,set_6
720575940620506996,720575940628343050,42,set_6
720575940620506996,720575940630670890,140,set_6
720575940620506996,720575940633194029,231,set_6
720575940620692974,720575940609922372,16,set_6
720575940620692974,720575940610000964,28,set_6
720575940620692974,720575940613943215,44,set_6
720575940620692974,720575940614998166,18,set_6
720575940620692974,720575940617151266,14,set_6
720575940620692974,720575940617787963,20,set_6
720575940620692974,720575940619658576,20,set_6
720575940620692974,720575940622415948,10,set_6
720575940620692974,720575940623314312,14,set_6
720575940620692974,720575940624913959,10,set_6
720575940620692974,720575940625045180,50,set_6
720575940620692974,720575940625807152,18,set_6
720575940620692974,720575940627177115,18,set_6
720575940620692974,720575940629778554,14,set_6
720575940620692974,720575940630589036,98,set_6
720575940620692974,720575940631179831,54,set_6
720575940620692974,720575940633373651,20,set_6
720575940620692974,720575940634659508,14,set_6
720575940620692974,720575940635202155,40,set_6
720575940620692974,720575940635360924,22,set_6
