root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940604782624,[],PRW.387,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,276,0
720575940606163842,[],PRW.335,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,300
720575940629887695,[],FLA.145,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,[],right,0,57
720575940626767152,['not a neuron'],PRW.420,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,19,170
720575940641265549,[],PRW.336,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,345,0
720575940622144648,[],PRW.261,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,645,15
720575940638086256,[],PRW.385,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,20,128
720575940645108936,['not a neuron'],PRW.315,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,27,298
720575940633129171,[],PRW.254,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'],right,25,299
720575940622575754,[],FLA.131,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,101
720575940619316603,[],NO_CONS.871,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,[],right,0,0
720575940605682790,[],GNG.1296,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,294,991
720575940606239666,[],GNG.PRW.45,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['feedforward_loop_participant'; 'reciprocal'],right,21,332
720575940630806267,[],GNG.1201,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,PhN,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'; 'rich_club'],right,587,715
720575940623951591,[],PRW.219,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,404
720575940633759840,[],PRW.215,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,587
720575940625785731,[],PRW.438,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,PhN,['feedforward_loop_participant'],right,0,90
