root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,in_question
720575940630574659,[],PRW.307,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group2,[],,StN_set_2,['feedforward_loop_participant'],left,0,279,
720575940622198772,[],PRW.425,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],left,17,114,
720575940633579360,[],PRW.397,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],left,7,175,
720575940624724458,[],PRW.423,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],left,21,114,
720575940624502269,[],PRW.325,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,12,188,
720575940631963821,[],PRW.365,OCT,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,12,182,
720575940631049064,[],PRW.406,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['3_cycle_participant'; 'feedforward_loop_participant'; 'reciprocal'],right,18,128,
720575940606163842,[],PRW.335,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],right,0,300,
720575940614641202,[],PRW.304,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],left,0,231,
720575940623951591,[],PRW.219,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],right,0,404,
720575940638357813,[],PRW.251,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],left,0,362,
720575940611959011,[],PRW.426,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],left,0,249,
720575940625871181,[],PRW.273,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],right,9,522,
720575940620910716,[],PRW.409,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],left,0,315,
720575940626311049,[],PRW.246,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'],right,0,549,
720575940624905572,[],PRW.369,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],left,7,351,
720575940645493283,[],PRW.294,ACH,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],right,9,482,
720575940626396803,[],PRW.301,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],right,18,475,
720575940624910373,[],PRW.380,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_3,['feedforward_loop_participant'; 'reciprocal'],left,16,340,
720575940617034713,[],FLA.125,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,['feedforward_loop_participant'],right,0,107,
720575940604355872,[],FLA.142,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,['feedforward_loop_participant'],left,0,47,
720575940621106465,[],FLA.124,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,['feedforward_loop_participant'],left,0,86,
720575940632040749,[],PRW.442,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,[],left,0,53,
720575940630434616,[],FLA.138,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,[],left,0,57,
720575940625785731,[],PRW.438,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,['feedforward_loop_participant'],right,0,90,
720575940629887695,[],FLA.145,SER,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,[],right,0,57,
720575940622575754,[],FLA.131,,afferent,sensory,unknown_sensory,pharyngeal_nerve_sensory_group1,[],,StN_set_1,['feedforward_loop_participant'],right,0,101,
720575940612642730,[],GNG.1214,ACH,afferent,sensory,unknown_sensory,accessory_pharyngeal_nerve_sensory_group2,[],,aPhN2,['3_cycle_participant'; 'feedforward_loop_participant'; 'rich_club'],right,16,905,
